Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
164,1,15,22,feet,4.57,6.71,4.57,6.71,till,,dark brown,"Till very silty with very rare pebbles, weathered dark brown",
164,1,22,26,feet,6.71,7.92,6.71,7.92,clay,,dark grey,Lake type deposit - clay very silty bedded slightly weathered originally dark grey.,
164,1,26,53,feet,7.92,16.15,7.92,16.15,sand,,,Sand very fine grain to medium well sorted clean water wet.,
164,1,53,70,feet,16.15,21.34,16.15,21.34,sand,,,"Grades into a coarse sane typical glacial origin. 70': Abandoned in sand, as above, bad hole conditions.",
165,1,0,15,feet,0,4.57,0,4.57,till,,brown,Till brown weathered silty with pebbles trace coal,
165,1,15,20,feet,4.57,6.1,4.57,6.1,till,clay,brown and grey,"Till brown weathered with grey unweathered clay. Abundant very small gravel angular quartz, granite etc.",
165,1,20,40,feet,6.1,12.19,6.1,12.19,till,,dark grey,"Dark grey firm clay till with few pebbles very silty smooth. 30 - 40': Till dark grey rare very small pebbles, clay silty. Water seeping into hole",
165,1,40,43,feet,12.19,13.11,12.19,13.11,till,,dark grey,"Dark grey very silty till with occasional large pebbles 1"" dia",
165,1,43,50,feet,13.11,15.24,13.11,15.24,shale,lacustrine?,dark grey,Dark grey very silty shale lake type deposit.,
165,1,50,92,feet,15.24,28.04,15.24,28.04,till,,dark grey,Till dark grey silty with common large pebbles,
166,1,0,4,feet,0,1.22,0,1.22,sand,,,Sand fine to coarse grain; dirty quartz,
166,1,4,11,feet,1.22,3.35,1.22,3.35,till,,brown,Brown silty weathered till with angular pebbles,
166,1,11,17,feet,3.35,5.18,3.35,5.18,sand and gravel,,brown,sand from very fine to coarse gravel brown; weathered,
166,1,17,25,feet,5.18,7.62,5.18,7.62,till,,bluish grey,Water table at 17'. Bluish grey very sandy till - clay but still weathered,
166,1,25,31,feet,7.62,9.45,7.62,9.45,till,,dark grey,Till. Clay to sandy and silty dark grey with brown cast; slightly weathered with occasional pebbles,
166,1,31,35,feet,9.45,10.67,9.45,10.67,till,,dark grey,"Till dark grey silty with pebbles trace schist, granite etc.",
166,1,35,43,feet,10.67,13.11,10.67,13.11,till,,brown - grey,"Till clay - brown grey, silty and sandy with rare pebbles",
166,1,43,59,feet,13.11,17.98,13.11,17.98,till,,dark grey,"Till dark grey, silty with abd pebbles",
166,1,59,70,feet,17.98,21.34,17.98,21.34,sand,,brown,Sand very fine brown clean sand grades into coarse. Typical glacier.,
166,1,70,74,feet,21.34,22.56,21.34,22.56,till,,greenish grey and brown,Till with shale fragments - greenish grey and brown,
166,1,74,87,feet,22.56,26.52,22.56,26.52,sand,,,Sand very fine grained,
166,1,87,91,feet,26.52,27.74,26.52,27.74,till,,dark grey,Till dark grey very silty and abundant pebbles. Trace of burnt clay.,
166,1,91,100,feet,27.74,30.48,27.74,30.48,sand,,,Sand very fine grain - loose - glacial to 100'. 100': TD.,
170,1,0,11,feet,0,3.35,0,3.35,till,,brown,"Brown, pebbly weathered till",
170,1,11,65,feet,3.35,19.81,3.35,19.81,silty till,,dark grey,"Till grey - dark grey, silty with trace pebbles; fairly firm. 30': Increase in pebble content",
170,1,65,93,feet,19.81,28.35,19.81,28.35,till,shale,green and brown,Till with reworked local bedrock shale; green and brown. Silty,
170,1,93,100,feet,28.35,30.48,28.35,30.48,sand,,,"Sand coarse to fine clean, poorly sorted quartz.",
173,1,0,10,feet,0,3.05,0,3.05,till,,brown,Very silty and sandy brown weathered till,
173,1,10,12.5,feet,3.05,3.81,3.05,3.81,sand,,brown,Sand brown very fine grain water wet,
173,1,12.5,22,feet,3.81,6.71,3.81,6.71,till,,dark grey,Till dark grey - grey very silty with pebbles,
173,1,22,36,feet,6.71,10.97,6.71,10.97,clay,shale,bluish grey to greenish grey,Bedrock bluish grey very silty clay with sand grains into very silty shale greenish grey dry. Slightly bentonitic. 36' TD.,
176,1,0,7,feet,0,2.13,0,2.13,till,,brown,Till dark brown weathered clay with pebbles,
176,1,7,10,feet,2.13,3.05,2.13,3.05,clay,,brown,Sandy brown weathered clay. Bedrock.,
176,1,10,44,feet,3.05,13.41,3.05,13.41,shale,silty shale,,Unweathered bedrock; very silty shale dry with sand grains. TD 44'.,
179,1,0,7,feet,0,2.13,0,2.13,till,clay,brown and yellow,Till weathered brown and yellow; clay with common pebbles.,
179,1,7,44,feet,2.13,13.41,2.13,13.41,shale,,,Bedrock - very silty weathered shale to 2'. 26': Water table??,
182,1,0,10,feet,0,3.05,0,3.05,till,,brown,Till brown clay weathered with common pebbles,
182,1,10,14,feet,3.05,4.27,3.05,4.27,bedrock,siltstone,brown,Bedrock - very silty weathered and sandy clay grades into a brown siltstone very hard dry. Redrill hole.,
182,1,14,18,feet,4.27,5.49,4.27,5.49,clay,siltstone,,"Redrill hole. Bedrock at 10'; siltstone at 13' 6"" thick; very silty and sandy clay unweathered.",Appears to be an amalgamation of two holes at same location. Depths not quite clear.
185,1,0,4.5,feet,0,1.37,0,1.37,till,,brown,Till brown weathered very silty,
185,1,4.5,19,feet,1.37,5.79,1.37,5.79,shale,silty shale,grey to olive grey,"Bedrock - shale grey to olive grey; very silty, slightly weathered. Shale grey firm silty.",
186,1,0,5,feet,0,1.52,0,1.52,fill,,,Fill material,
186,1,5,6,feet,1.52,1.83,1.52,1.83,till,,brown,"Till brown, silty with sand fine grain weathered brown",
186,1,6,7,feet,1.83,2.13,1.83,2.13,sand,,,"Sand, very fine - fine grain, uniform size",
186,1,7,13,feet,2.13,3.96,2.13,3.96,shale,,bluish grey,"Bedrock - bluish grey, silty shale, not weathered",
187,1,0,1,feet,0,0.3,0,0.3,till,,grey to light grey,"Till grey to light grey, dry.",
187,1,1,5,feet,0.3,1.52,0.3,1.52,sand,,brown,"Sand brn. weathered, with black specks (pocket) loose",
187,1,5,7,feet,1.52,2.13,1.52,2.13,till,,dark grey,"Till dark grey, silty, wet",
187,1,7,9,feet,2.13,2.74,2.13,2.74,clay,,grey brown,Grey weathered brown clay - Bedrock,
187,1,9,13,feet,2.74,3.96,2.74,3.96,shale,,green grey,"Green grey, silty shale - Bedrock",
188,1,0,2,feet,0,0.61,0,0.61,till,,brown,Brown till,
188,1,2,6,feet,0.61,1.83,0.61,1.83,sandstone,,brown,Brown clayey SS,
188,1,6,9,feet,1.83,2.74,1.83,2.74,sandstone,,"grey, light bluish",Grey sandstone light bluish,
188,1,9,13,feet,2.74,3.96,2.74,3.96,shale,,grey,Hard grey shale. 12 - 13': A little softer grey shale,
189,1,0,4,feet,0,1.22,0,1.22,till,,brown,"Brown till, very dry",
189,1,4,13,feet,1.22,3.96,1.22,3.96,shale,,brown to dark brown,"Brown to dark brown shale, dry. A small stringer of clayey sandstone at 9' about 5 feet thick",
190,1,0,7.5,feet,0,2.29,0,2.29,till,,brown,"Till, brown, very sandy, weathered with abundant pebbles",
190,1,7.5,8,feet,2.29,2.44,2.29,2.44,sandstone,,,"Bedrock - (Edmonton?? Frm. SS) weathered 1' very sandy clay, silty, with abundant black pebbles",See log for Shelby blow counts
133x,1,0,3,feet,0,0.91,0,0.91,fill,,,Road fill,
133x,1,3,11,feet,0.91,3.35,0.91,3.35,sand,,,Porous weathered sands. Ground water 9'.,
133x,1,11,13,feet,3.35,3.96,3.35,3.96,fine sand,,,"Fine sand with silt, wet.",
133x,1,13,25,feet,3.96,7.62,3.96,7.62,till,,dark grey,"Dark grey till, very silty, relatively free of pebbles.",
133x,1,25,37,feet,7.62,11.28,7.62,11.28,clay,,greenish grey to light grey,"Greenish grey (resembles bedrock) but with pebbles. Grey, light - very silty and sandy clay with concretions in it.",
152_redrill,1,0,25,feet,0,7.62,0,7.62,till,,brown,Brown silty weathered clay till with occasional pebbles and common sand lenses.,
152_redrill,1,25,35,feet,7.62,10.67,7.62,10.67,till,,grey,Till clay grey silty slightly weathered with pebbles,
152_redrill,1,35,65,feet,10.67,19.81,10.67,19.81,till,,dark grey,Till clay dark grey very silty,
152_redrill,1,65,83,feet,19.81,25.3,19.81,25.3,shale,,grey to dark grey,Bedrock shale grey - dark grey silty with concretions of shale present.,
